CAS Number,Chemical Name,Chemical Analysis,Test Method,Exposure Type,Media Type,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc Min 1 (Standardized),Conc 1 Max (Standardized),Effect,Effect Measurement,Chemical DTXSID,log_LC50
57330,"5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione sodium salt (1:1)",Measured,Not coded,Flow-through,Fresh water,Active ingredient,49.5,45.5,53.8,Mortality,Mortality,DTXSID9021712,1.6946051989335686
57432,Amobarbital,Measured,Not coded,Flow-through,Fresh water,Active ingredient,85.4,78.6,92.7,Mortality,Mortality,DTXSID9020081,1.931457870689005
57556,"1,2-Propanediol",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,55770.0,,,Mortality,Mortality,DTXSID0021206,4.746400644491561
57556,"1,2-Propanediol",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,710.0,,,Mortality,Mortality,DTXSID0021206,2.8512583487190755
57556,"1,2-Propanediol",Measured,Not coded,Renewal,Fresh water,Active ingredient,34060.0,29485.0,39339.0,Mortality,Mortality,DTXSID0021206,4.532244643626583
57749,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,0.052,,,Mortality,Mortality,DTXSID7020267,-1.2839966563652008
57749,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.069,,,Mortality,Mortality,DTXSID7020267,-1.1611509092627446
57749,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",Unmeasured,Not coded,Static,Fresh water,Formulation,0.18,,,Mortality,Mortality,DTXSID7020267,-0.744727494896694
57749,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.127,,,Mortality,Mortality,DTXSID7020267,-0.8961962790440431
57749,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.052,,,Mortality,Mortality,DTXSID7020267,-1.2839966563652008
58082,"3,7-Dihydro-1,3,7-trimethyl-1H-purine-2,6-dione",Measured,Not reported,Flow-through,Fresh water,Active ingredient,151.0,138.0,166.0,Mortality,Mortality,DTXSID0020232,2.1789769472931693
58275,"2-Methyl-1,4-naphthalenedione",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.11,0.1,0.121,Mortality,Mortality,DTXSID4021715,-0.958607314841775
58275,"2-Methyl-1,4-naphthalenedione",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.11,,,Mortality,Mortality,DTXSID4021715,-0.958607314841775
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Unmeasured,Not coded,Flow-through,Fresh water,Active ingredient,0.1,,,Mortality,Mortality,DTXSID2020686,-1.0
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Flow-through,Fresh water,Formulation,0.0438,,,Mortality,Mortality,DTXSID2020686,-1.3585258894959005
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Flow-through,Fresh water,Active ingredient,0.077,0.055,0.106,Mortality,Mortality,DTXSID2020686,-1.1135092748275182
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Static,Fresh water,Active ingredient,0.086,0.067,0.11,Mortality,Mortality,DTXSID2020686,-1.0655015487564323
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Measured,Not coded,Static,Fresh water,Active ingredient,0.13,0.118,0.143,Mortality,Mortality,DTXSID2020686,-0.8860566476931632
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Flow-through,Fresh water,Formulation,0.0438,,,Mortality,Mortality,DTXSID2020686,-1.3585258894959005
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Measured,Not coded,Flow-through,Fresh water,Active ingredient,0.111,0.105,0.118,Mortality,Mortality,DTXSID2020686,-0.9546770212133424
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.056,,,Mortality,Mortality,DTXSID2020686,-1.2518119729937995
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Static,Fresh water,Active ingredient,0.067,0.042,0.105,Mortality,Mortality,DTXSID2020686,-1.1739251972991736
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Unmeasured,Not coded,"Aquatic, unspecified",Fresh water,Formulation,0.087,,,Mortality,Mortality,DTXSID2020686,-1.0604807473813815
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Unmeasured,Not coded,Static,Fresh water,Active ingredient,0.062,,,Mortality,Mortality,DTXSID2020686,-1.207608310501746
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Static,Fresh water,Active ingredient,0.087,0.069,0.101,Mortality,Mortality,DTXSID2020686,-1.0604807473813815
58899,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",Not reported,Not coded,Flow-through,Fresh water,Formulation,0.0438,,,Mortality,Mortality,DTXSID2020686,-1.3585258894959005
58902,"2,3,4,6-Tetrachlorophenol",Measured,Not coded,Flow-through,Fresh water,Active ingredient,1.03,,,Mortality,Mortality,DTXSID9021716,0.0128372247051722
